게/EC	2급	게	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
라/EC	1급	라	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
ㅂ니까/EF	1급	ㅂ니까	EF
ㅂ니까/EF	1급	ㅂ니까	EF
ㅂ니까/EF	1급	ㅂ니까	EF
ㅂ니까/EF	1급	ㅂ니까	EF
ㅂ니까/EF	1급	ㅂ니까	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ시다/EF	1급	ㅂ시다	EF
습니까/EF	1급	습니까	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
아/EC	1급	아	EC
아/EC	1급	아	EC
아서/EC	1급	아서	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어도/EC	3급	어도	EC
어서/EC	1급	어서	EC
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
으면/EC	2급	으면	EC
으면/EC	2급	으면	EC
으시/EP	1급	으시	EP
으시/EP	1급	으시	EP
은/ETM	2급	은	ET
을/ETM	2급	을	ET
지/EC	5급	지	EC
지/EC	5급	지	EC
지만/EC	1급	지만	EC
지요/EF	2급	지요	EF
