거나/EC	2급	거나	EC
게/EC	2급	게	EC
게/EC	2급	게	EC
게/EC	2급	게	EC
게/EC	2급	게	EC
겠/EP	1급	겠	EP
겠/EP	1급	겠	EP
겠/EP	1급	겠	EP
겠/EP	1급	겠	EP
겠/EP	1급	겠	EP
겠/EP	1급	겠	EP
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
군요/EF	2급	군요	EF
기/ETN	2급	기	ET
기/ETN	2급	기	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ데/EC	2급	ㄴ데	EC
ㄴ데/EC	2급	ㄴ데	EC
ㄴ데/EC	2급	ㄴ데	EC
ㄴ데/EC	2급	ㄴ데	EC
나/EC	3급	나	EC
나/EC	3급	나	EC
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는데/EC	2급	는데	EC
는데/EC	2급	는데	EC
니까/EC	1급	니까	EC
니까/EC	1급	니까	EC
니까/EC	1급	니까	EC
더라도/EC	4급	더라도	EC
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
라/EC	1급	라	EC
라/EC	1급	라	EC
라서/EC	1급	라서	EC
라서/EC	1급	라서	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면서/EC	2급	면서	EC
ㅂ니까/EF	1급	ㅂ니까	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
습니까/EF	1급	습니까	EF
습니까/EF	1급	습니까	EF
습니까/EF	1급	습니까	EF
습니까/EF	1급	습니까	EF
습니까/EF	1급	습니까	EF
습니까/EF	1급	습니까	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
아/EC	1급	아	EC
아/EC	1급	아	EC
아도/EC	3급	아도	EC
아서/EC	1급	아서	EC
았/EP	1급	았	EP
았/EP	1급	았	EP
았/EP	1급	았	EP
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EF	1급	어	EF
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
어야/EC	3급	어야	EC
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
으면/EC	2급	으면	EC
으면/EC	2급	으면	EC
으면/EC	2급	으면	EC
으면서/EC	2급	으면서	EC
은/ETM	2급	은	ET
은/ETM	2급	은	ET
은/ETM	2급	은	ET
은/ETM	2급	은	ET
은/ETM	2급	은	ET
은/ETM	2급	은	ET
은데/EC	2급	은데	EC
을/ETM	2급	을	ET
을/ETM	2급	을	ET
지/EC	5급	지	EC
지/EC	5급	지	EC
지/EC	5급	지	EC
지/EC	5급	지	EC
