거나/EC	2급	거나	EC
게/EC	2급	게	EC
게/EC	2급	게	EC
게/EC	2급	게	EC
게/EC	2급	게	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ데/EC	2급	ㄴ데	EC
ㄴ데/EC	2급	ㄴ데	EC
ㄴ데/EC	2급	ㄴ데	EC
ㄴ데/EC	2급	ㄴ데	EC
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는데/EC	2급	는데	EC
는데/EC	2급	는데	EC
니까/EC	1급	니까	EC
니까/EC	1급	니까	EC
ㄹ/ETM	2급	ㄹ	ET
러/EC	1급	러	EC
려고/EC	1급	려고	EC
아서/EC	1급	아서	EC
아서/EC	1급	아서	EC
아요/EF	1급	아요	EF
아요/EF	1급	아요	EF
아요/EF	1급	아요	EF
아요/EF	1급	아요	EF
아요/EF	1급	아요	EF
았/EP	1급	았	EP
았/EP	1급	았	EP
았/EP	1급	았	EP
았/EP	1급	았	EP
았/EP	1급	았	EP
았/EP	1급	았	EP
어/EC	1급	어	EC
어/EC	1급	어	EC
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
어야/EC	3급	어야	EC
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
에요/EF	1급	에요	EF
에요/EF	1급	에요	EF
에요/EF	1급	에요	EF
에요/EF	1급	에요	EF
으러/EC	1급	으러	EC
은/ETM	2급	은	ET
은/ETM	2급	은	ET
을/ETM	2급	을	ET
을/ETM	2급	을	ET
지/EC	5급	지	EC
지만/EC	1급	지만	EC
