게/EC	2급	게	EC
겠/EP	1급	겠	EP
고/EC	1급	고	EC
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
라면/EC	4급	라면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ시다/EF	1급	ㅂ시다	EF
세요/EF	1급	세요	EF
세요/EF	1급	세요	EF
습니까/EF	1급	습니까	EF
습니다/EF	1급	습니다	EF
시/EP	1급	시	EP
아/EC	1급	아	EC
아서/EC	1급	아서	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
