게/EC	2급	게	EC
겠/EP	1급	겠	EP
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ데/EC	2급	ㄴ데	EC
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는데/EC	2급	는데	EC
는데/EC	2급	는데	EC
는데요/EF	2급	는데요	EF
니까/EC	1급	니까	EC
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
라면/EC	4급	라면	EC
려고/EC	1급	려고	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
세요/EF	1급	세요	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
시/EP	1급	시	EP
아/EC	1급	아	EC
아/EC	1급	아	EC
아서/EC	1급	아서	EC
아서/EC	1급	아서	EC
아요/EF	1급	아요	EF
았/EP	1급	았	EP
았/EP	1급	았	EP
았/EP	1급	았	EP
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
에요/EF	1급	에요	EF
을/ETM	2급	을	ET
을/ETM	2급	을	ET
을/ETM	2급	을	ET
을/ETM	2급	을	ET
지/EC	5급	지	EC
지/EC	5급	지	EC
지/EC	5급	지	EC
지/EC	5급	지	EC
지/EC	5급	지	EC
