거든요/EF	3급	거든요	EF
게/EC	2급	게	EC
게/EC	2급	게	EC
게/EC	2급	게	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기에/EC	4급	기에	EC
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는데/EC	2급	는데	EC
는데/EC	2급	는데	EC
는데/EC	2급	는데	EC
는데/EC	2급	는데	EC
는지/EC	4급	는지	EC
는지/EC	4급	는지	EC
니까/EC	1급	니까	EC
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ수록/EC	4급	ㄹ수록	EC
라면/EC	4급	라면	EC
며/EC	4급	며	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면서/EC	2급	면서	EC
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
아/EC	1급	아	EC
아/EC	1급	아	EC
아서/EC	1급	아서	EC
아서/EC	1급	아서	EC
아서/EC	1급	아서	EC
아서/EC	1급	아서	EC
아서/EC	1급	아서	EC
아서/EC	1급	아서	EC
아요/EF	1급	아요	EF
아요/EF	1급	아요	EF
았/EP	1급	았	EP
았/EP	1급	았	EP
았/EP	1급	았	EP
았/EP	1급	았	EP
았/EP	1급	았	EP
았/EP	1급	았	EP
았/EP	1급	았	EP
았/EP	1급	았	EP
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어야/EC	3급	어야	EC
어야/EC	3급	어야	EC
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
어요/EF	1급	어요	EF
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
에요/EF	1급	에요	EF
으면/EC	2급	으면	EC
은/ETM	2급	은	ET
은/ETM	2급	은	ET
은/ETM	2급	은	ET
을/ETM	2급	을	ET
을/ETM	2급	을	ET
을/ETM	2급	을	ET
을래야/EC	4급	을래야	EC
지만/EC	1급	지만	EC
지요/EF	2급	지요	EF
