EF 3 
EF 3
EF 3
EF 3
EF 3
EF 3
EF 3
EF 3
EF 3
EF 3
EF 3
EF 3
EF 3
EF 3
EF 3
게/EC	2	게	EC
고/EC	1	고	EC
고/EC	1	고	EC
고/EC	1	고	EC
고/EC	1	고	EC
고/EC	1	고	EC
고/EC	1	고	EC
고/EC	1	고	EC
고/EC	1	고	EC
기/ETN	2	기	ET
기/ETN	2	기	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ/ETM	2	ㄴ	ET
ㄴ다/EF	3	ㄴ다	EF
ㄴ다/EF	3	ㄴ다	EF
는/ETM	2	는	ET
는/ETM	2	는	ET
는/ETM	2	는	ET
는/ETM	2	는	ET
는/ETM	2	는	ET
는/ETM	2	는	ET
는/ETM	2	는	ET
는/ETM	2	는	ET
는/ETM	2	는	ET
는/ETM	2	는	ET
는/ETM	2	는	ET
는/ETM	2	는	ET
는/ETM	2	는	ET
는/ETM	2	는	ET
는/ETM	2	는	ET
는다/EF	3	는다	EF
는다/EF	3	는다	EF
는다/EF	3	는다	EF
다면/EC	4	다면	EC
다면/EC	4	다면	EC
다면/EC	4	다면	EC
다면/EC	4	다면	EC
ㄹ/ETM	2	ㄹ	ET
ㄹ/ETM	2	ㄹ	ET
ㄹ/ETM	2	ㄹ	ET
ㄹ/ETM	2	ㄹ	ET
ㄹ/ETM	2	ㄹ	ET
ㄹ/ETM	2	ㄹ	ET
ㄹ/ETM	2	ㄹ	ET
ㄹ/ETM	2	ㄹ	ET
ㄹ/ETM	2	ㄹ	ET
ㄹ/ETM	2	ㄹ	ET
ㄹ/ETM	2	ㄹ	ET
ㄹ까/EF	1	ㄹ까	EF
며/EC	4	며	EC
면서/EC	2	면서	EC
아/EC	1	아	EC
아/EC	1	아	EC
아/EC	1	아	EC
어/EC	1	어	EC
어/EC	1	어	EC
어/EC	1	어	EC
어/EC	1	어	EC
어/EC	1	어	EC
어/EC	1	어	EC
어/EC	1	어	EC
어/EC	1	어	EC
어서/EC	1	어서	EC
었/EP	1	었	EP
은/ETM	2	은	ET
은/ETM	2	은	ET
은/ETM	2	은	ET
은/ETM	2	은	ET
은/ETM	2	은	ET
을/ETM	2	을	ET
을/ETM	2	을	ET
을/ETM	2	을	ET
