ETM 4
ETM 2
EC 3
EF 3
거나/EC	2급	거나	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ다/EF	3급	ㄴ다	EF
ㄴ데/EC	2급	ㄴ데	EC
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
라/EC	1급	라	EC
며/EC	4급	며	EC
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
습니까/EF	1급	습니까	EF
습니다/EF	1급	습니다	EF
아/EC	1급	아	EC
아/EC	1급	아	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
은/ETM	2급	은	ET
은/ETM	2급	은	ET
을/ETM	2급	을	ET
을/ETM	2급	을	ET
지/EC	5급	지	EC
지/EC	5급	지	EC
지/EC	5급	지	EC
지만/EC	1급	지만	EC
