ETM 4
ETM 4
EC 3
ETM 4
EC 3
EF 3
EF 3
EF 3
EF 3
EF 3
EF 3
EC 3
EF 3
EF 3
게/EC	2급	게	EC
겠/EP	1급	겠	EP
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ다/EF	3급	ㄴ다	EF
ㄴ다/EF	3급	ㄴ다	EF
ㄴ다/EF	3급	ㄴ다	EF
ㄴ다/EF	3급	ㄴ다	EF
ㄴ다/EF	3급	ㄴ다	EF
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는데/EC	2급	는데	EC
는데/EC	2급	는데	EC
는데/EC	2급	는데	EC
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ까/EF	1급	ㄹ까	EF
ㄹ까/EF	1급	ㄹ까	EF
며/EC	4급	며	EC
며/EC	4급	며	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면서/EC	2급	면서	EC
아서/EC	1급	아서	EC
았/EP	1급	았	EP
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어서/EC	1급	어서	EC
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
으면/EC	2급	으면	EC
으면/EC	2급	으면	EC
은/ETM	2급	은	ET
은/ETM	2급	은	ET
을/ETM	2급	을	ET
을/ETM	2급	을	ET
을/ETM	2급	을	ET
을까/EF	1급	을까	EF
을까/EF	1급	을까	EF
을까/EF	1급	을까	EF
지만/EC	1급	지만	EC
지만/EC	1급	지만	EC
지만/EC	1급	지만	EC
