ETM 4
EC 3
거나/EC	2급	거나	EC
게/EC	2급	게	EC
게/EC	2급	게	EC
게/EC	2급	게	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는데/EC	2급	는데	EC
다면/EC	4급	다면	EC
더라도/EC	4급	더라도	EC
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ수록/EC	4급	ㄹ수록	EC
라면/EC	4급	라면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
습니다/EF	1급	습니다	EF
시/EP	1급	시	EP
시/EP	1급	시	EP
시/EP	1급	시	EP
아도/EC	3급	아도	EC
아서/EC	1급	아서	EC
아서/EC	1급	아서	EC
아야/EC	3급	아야	EC
았/EP	1급	았	EP
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
으려면/EC	3급	으려면	EC
은/ETM	2급	은	ET
은/ETM	2급	은	ET
은/ETM	2급	은	ET
지/EC	5급	지	EC
지/EC	5급	지	EC
지만/EC	1급	지만	EC
