EF 3
EF 3
EC 3
EF 3
EF 3
EF 3
EC 3
EF 3
EF 3
EF 3
EF 3
EF 3
EF 3 
EC 3
EF 3
EF 3
EF 3
EF 3
EF 3
게/EC	2급	게	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
기/ETN	2급	기	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ다/EF	3급	ㄴ다	EF
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
던/ETM	3급	던	ET
던/ETM	3급	던	ET
던/ETM	3급	던	ET
려고/EC	1급	려고	EC
려고/EC	1급	려고	EC
며/EC	4급	며	EC
면/EC	2급	면	EC
면서/EC	2급	면서	EC
아/EC	1급	아	EC
아/EC	1급	아	EC
았/EP	1급	았	EP
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
은/ETM	2급	은	ET
은/ETM	2급	은	ET
지/EC	5급	지	EC
지/EC	5급	지	EC
지만/EC	1급	지만	EC
지만/EC	1급	지만	EC
